Categoria;Marca;Modelo;Capacidad_Detalle;Color_Adicional;Precio;Moneda;Link_Imagen;Precio_unificado;dolar_hoy
Celulares;Apple;iPhone 15;128GB;Blue;645;USD;;#¡VALOR!;1410
Celulares;Apple;iPhone 16;128GB;Teal;770;USD;;#¡VALOR!;
Celulares;Apple;iPhone 16;128GB;Black - White;780;USD;;#¡VALOR!;
Celulares;Apple;iPhone 17 Air;256GB;White - Blue - Gold;975;USD;;#¡VALOR!;
Celulares;Apple;iPhone 17;256GB;White;895;USD;;#¡VALOR!;
Celulares;Apple;iPhone 17;256GB;Black - Lav - Blue - Sage;900;USD;;#¡VALOR!;
Celulares;Apple;iPhone 17 E;256GB;Black;695;USD;;#¡VALOR!;
Celulares;Apple;iPhone 17 Pro;256GB;Orange;1300;USD;;#¡VALOR!;
Celulares;Apple;iPhone 17 Pro;256GB;Blue - Silver;1315;USD;;#¡VALOR!;
Celulares;Apple;iPhone 17 Pro;512GB;Orange;1515;USD;;#¡VALOR!;
Celulares;Apple;iPhone 17 Pro Max;256GB;Orange;1425;USD;;#¡VALOR!;
Celulares;Apple;iPhone 17 Pro Max;256GB;Silver;1465;USD;;#¡VALOR!;
Celulares;Apple;iPhone 17 Pro Max;512GB;Orange;1655;USD;;#¡VALOR!;
Accesorios;Apple;Cargador Original 20W;-;-;60;USD;;#¡VALOR!;
Accesorios;Apple;AirPods Pro 3;-;-;305;USD;;#¡VALOR!;
Tablets;Apple;iPad A16;128GB;Pink - Silver - Blue;435;USD;;#¡VALOR!;
Tablets;Apple;iPad A16;256GB;Blue;540;USD;;#¡VALOR!;
Tablets;Apple;"iPad Pro M5 11""";256GB;Black - Silver;1025;USD;;#¡VALOR!;
Tablets;Apple;"iPad Air 13""";128GB;Space - Purple - Star;900;USD;;#¡VALOR!;
Celulares;Samsung;S25 Ultra;12/256GB;Black - Gray - Jet;970;USD;;#¡VALOR!;
Celulares;Samsung;S25 Ultra;12/512GB;Black - Gray;1055;USD;;#¡VALOR!;
Celulares;Samsung;S26 Ultra;12/256GB;Black - Violet - White;1235;USD;;#¡VALOR!;
Celulares;Samsung;S26 Ultra;12/512GB;Black;1335;USD;;#¡VALOR!;
Celulares;Motorola;G23;128/4GB;White;205000;ARS;;205000;
Celulares;Motorola;G35 5G;256/8GB;Black;285000;ARS;;285000;
Celulares;Motorola;G56 5G;256/12GB;Black;350000;ARS;;350000;
Celulares;Motorola;G86 5G;256/8GB;Azul;395000;ARS;;395000;
Celulares;Samsung;Galaxy A16;128/4GB;Silver;250000;ARS;;250000;
Celulares;Samsung;A36 5G;256/8GB;Blanco - Negro;465000;ARS;;465000;
Celulares;Samsung;A37 5G;256GB;Charcoal - GrayGreen;680000;ARS;;680000;
Celulares;Tecno;Spark 30 Pro;256/8+8GB;Obsidian Edge;280000;ARS;;280000;
Celulares;Xiaomi;Redmi 15C;256/8+8GB;Blue - Black;280000;ARS;;280000;
Celulares;Xiaomi;Redmi Note 15;128/6GB;Black;360000;ARS;;360000;
Celulares;Xiaomi;Redmi Note 14 5G;512/12GB;Purple - Coral Green;430000;ARS;;430000;
Celulares;Xiaomi;Redmi Note 15 Pro;256/8GB;Black;490000;ARS;;490000;
Celulares;Poco;M7 Pro 5G;512/12GB;Black;420000;ARS;;420000;
Celulares;Poco;X7 Pro 5G;512/12GB;Green;550000;ARS;;550000;
Celulares;Xiaomi;Redmi Note 15 Pro 5G;512/8GB;Black;615000;ARS;;615000;
Celulares;Xiaomi;Redmi Note 14 Pro Plus 5G;512/12GB;Frost Blue;620000;ARS;;620000;
